"","x"
"team_Air Force",-2.18772670290958
"team_Akron",-0.893593195512074
"team_Alabama",-0.134739193974979
"team_Alabama A&M",-6.30968545208437
"team_Alabama State",-5.20248643078888
"team_Albany",-3.06411308405527
"team_Alcorn State",-5.85969255093908
"team_American",-1.72132657516374
"team_Appalachian St.",-3.40698096332734
"team_Arizona",-0.694017186976208
"team_Arizona State",-3.06081755962352
"team_Ark.-Pine Bluff",-4.90239954904653
"team_Arkansas",-1.11405987455549
"team_Arkansas State",-2.85723309447884
"team_Army",-3.96934202650385
"team_Auburn",-1.4001862030772
"team_Austin Peay",-2.90657973241731
"team_Avila",-18.7801300415049
"team_Ball State",-2.9956078671732
"team_Baylor",1.4638808974108
"team_Belmont",-0.657498576219669
"team_Bethune-Cookman",-3.22118997607234
"team_Binghamton",-7.0097449775468
"team_Boise State",-2.16546543965306
"team_Boston College",-2.99736694981452
"team_Boston U.",-2.5790943887734
"team_Bowling Green",-2.08803063039683
"team_Bradley",-3.26682283051165
"team_Brown",-4.5325916677833
"team_Bryant",-7.37576834088378
"team_Bucknell",-1.17905500011061
"team_Buffalo",-1.11776974638015
"team_Butler",-1.33075044373731
"team_BYU",-0.273803929203535
"team_Cal Poly",-2.83256854761246
"team_California",-0.345302996979189
"team_Campbell",-3.51390917507187
"team_Canisius",-5.26276016529293
"team_Cent. Conn. St.",-3.19104268035534
"team_Cent. Michigan",-3.48713873617577
"team_Central Ark.",-4.37199924507078
"team_Charleston",-2.0933977628481
"team_Charleston So.",-3.11503324851472
"team_Charlotte",-2.05557578172942
"team_Chattanooga",-4.4821329302735
"team_Chicago State",-5.68095510127612
"team_Cincinnati",0.379128381291345
"team_Citadel",-5.10092335665945
"team_Clemson",-1.79825661041147
"team_Cleveland State",-0.985708695175329
"team_Coastal Caro.",-3.04246574554629
"team_Colgate",-4.42765386023418
"team_Colorado",-0.467920039904049
"team_Colorado State",-0.351710355509618
"team_Columbia",-2.37613456412664
"team_Connecticut",-0.121664158987911
"team_Coppin State",-4.23020443089371
"team_Cornell",-2.34250987430893
"team_Creighton",0.810215457599818
"team_CSU Bakersfield",-2.92936359426869
"team_CSU Fullerton",-2.07996963928659
"team_CSU Northridge",-4.4709307430686
"team_Dartmouth",-5.27720758361832
"team_Davidson",-0.850481966731341
"team_Dayton",-0.87192881344338
"team_Delaware",-1.69524971720386
"team_Delaware State",-3.3454298377278
"team_Denver",-1.40554016392896
"team_DePaul",-2.30378051399316
"team_Detroit",-1.39126564566547
"team_Drake",-1.21826717620089
"team_Drexel",-0.315418086505085
"team_Duke",1.18740864299898
"team_Duquesne",-1.48905260816499
"team_East Carolina",-2.013315385496
"team_East Tenn. St.",-2.3965613674315
"team_East. Kentucky",-2.9570373459563
"team_Eastern Illinois",-3.74678729373811
"team_Eastern Mich.",-3.06700390217164
"team_Eastern Wash.",-3.13779974062562
"team_Elon",-3.14561182742738
"team_Evansville",-1.37607015221287
"team_Fairfield",-1.59630349171378
"team_Fairleigh D'son",-6.16946947398386
"team_FIU",-3.78158814024809
"team_Fla. Gulf Coast",-2.70020656827443
"team_Florida",0.255324474067293
"team_Florida A&M",-4.33933280697089
"team_Florida Atlantic",-3.07173470331694
"team_Florida State",0.750831179034629
"team_Fordham",-2.79864801180088
"team_Fresno State",-3.24985700086976
"team_Furman",-3.11976546625893
"team_Ga. Southern",-2.74222238145414
"team_Gardner-Webb",-4.57913306532365
"team_Geo. Washington",-2.49600206169881
"team_George Mason",-0.831243315012563
"team_Georgetown",0.604850613028182
"team_Georgia",-1.14585070901119
"team_Georgia State",-1.33838562421233
"team_Georgia Tech",-2.31642641727252
"team_Gonzaga",0.22231934963726
"team_Grambling",-6.61152498838191
"team_Green Bay",-1.7828279087277
"team_Hampton",-4.32437113284914
"team_Hartford",-4.46395093485172
"team_Harvard",0.104988306790894
"team_Hawaii",-2.6203886350975
"team_High Point",-4.04238155955549
"team_Hofstra",-3.47523932822907
"team_Holy Cross",-2.59578943148147
"team_Houston",-2.27457450941945
"team_Houston Baptist",-4.89764845951876
"team_Howard",-4.30170160684431
"team_Idaho",-1.95809996976158
"team_Idaho State",-4.02895503359543
"team_Ill.-Chicago",-3.29585645392726
"team_Illinois",-0.334679635448278
"team_Illinois State",-0.786200221214593
"team_Indiana",1.14771605955557
"team_Indiana State",-1.15936620045244
"team_Iona",-0.627254348459414
"team_Iowa",-0.665371047494577
"team_Iowa State",0.312979368478905
"team_IPFW",-3.58046791203948
"team_IUPUI",-2.97659858771392
"team_Jackson State",-6.01610827137959
"team_Jacksonville",-3.77149898454129
"team_Jacksonville St.",-3.00834947670758
"team_James Madison",-3.42458077620574
"team_Johnson & Wales (CO)",-18.5131849924388
"team_Kansas",1.69358072477052
"team_Kansas State",0.307863221017642
"team_Kennesaw State",-6.42284187646886
"team_Kent State",-1.4563074040552
"team_Kentucky",2.39714527022861
"team_La Salle",-0.896774167919476
"team_La Sierra",-16.6850122023231
"team_La.-Lafayette",-2.36235385106677
"team_La.-Monroe",-4.78648000841004
"team_Lafayette",-2.93878727816124
"team_Lamar",-1.96543726832182
"team_Lehigh",-0.902525881617532
"team_Liberty",-4.22771702732338
"team_Lipscomb",-2.93456473566023
"team_Long Beach St.",-0.0729689428831746
"team_Long Island",-1.004542962812
"team_Longwood",-5.74838748861551
"team_Louisiana Tech",-2.3399517812927
"team_Louisville",0.747040428346567
"team_Loyola Chicago",-3.8276364221874
"team_Loyola Maryland",-1.14064366219026
"team_Loyola Marym't",-1.52619579055445
"team_LSU",-0.826384865062551
"team_Maine",-3.91767688396755
"team_Manhattan",-2.03011479107436
"team_Marist",-3.09519571726847
"team_Marquette",0.816186577724018
"team_Marshall",-0.79846513573214
"team_Maryland",-1.35180201447003
"team_Massachusetts",-0.832425617038566
"team_McNeese State",-2.69769303232946
"team_Md.-East. Shore",-5.04138708402243
"team_Memphis",0.375868209812864
"team_Mercer",-1.78985200599043
"team_Miami (Fla.)",-0.373653417967266
"team_Miami (Ohio)",-3.15094240711084
"team_Michigan",1.0156096685887
"team_Michigan State",1.61502372418771
"team_Middle Tenn.",-0.64035594274245
"team_Milwaukee",-1.51900791439988
"team_Minnesota",-0.437553445932391
"team_Miss. Valley St.",-2.91347758479542
"team_Mississippi",-0.466157667461331
"team_Mississippi St.",-0.56345789250809
"team_Missouri",1.88652182414559
"team_Missouri State",-1.01023819750818
"team_Monmouth",-3.39341175478379
"team_Montana",-1.09046241289473
"team_Montana State",-3.75433672656958
"team_Morehead State",-2.35543643453066
"team_Morgan State",-4.35501941099888
"team_Mt. St. Mary's",-4.49354173749049
"team_Murray State",1.63923205736443
"team_N'western St.",-3.11904768116845
"team_N.C. A&T",-4.2889643504987
"team_N.C. Central",-3.39777110975075
"team_Navy",-6.00868013950241
"team_NC State",-0.269071911252887
"team_Neb. Omaha",-4.46504638763667
"team_Nebraska",-1.29526885367591
"team_Nevada",-0.394976962701412
"team_New Hampshire",-3.98559850899167
"team_New Mexico",0.511191699667217
"team_New Mexico St.",-1.03523190091332
"team_New Orleans",-4.96173895776955
"team_Niagara",-3.03553617293214
"team_Nicholls State",-4.14313411265751
"team_NJIT",-4.27087454362896
"team_Norfolk State",-1.50607974082148
"team_North Carolina",1.54023603936116
"team_North Dakota",-3.6127346965642
"team_North Dakota St.",-2.50394462266551
"team_North Florida",-2.54712744615663
"team_North Texas",-2.38391541722812
"team_Northeastern",-2.3986073061929
"team_Northern Ariz.",-5.56021334878115
"team_Northern Colo.",-4.0464416621265
"team_Northern Ill.",-4.80082579045679
"team_Northwestern",-0.153614795608276
"team_Notre Dame",0.0718529599948892
"team_Oakland",-2.11276868704328
"team_Ohio",-0.398689342633641
"team_Ohio State",1.58730229009345
"team_Oklahoma",-1.06409372690258
"team_Oklahoma State",-0.865607559657803
"team_Old Dominion",-1.10274648934157
"team_Oral Roberts",-0.45434267460744
"team_Oregon",-0.532818221920031
"team_Oregon State",-1.48693824041116
"team_Pacific",-3.72100707769394
"team_Penn",-1.13829192642485
"team_Penn State",-1.41751472500034
"team_Pepperdine",-3.51513232953419
"team_Pittsburgh",-1.00303621122564
"team_Portland",-4.00671640325224
"team_Portland State",-2.80489918994517
"team_Prairie View A&M",-5.01702808211613
"team_Presbyterian",-3.83328697469147
"team_Princeton",-1.17483705737798
"team_Providence",-1.56465136866245
"team_Purdue",0.270415419108548
"team_Quinnipiac",-2.27587392190029
"team_Radford",-6.13575421295642
"team_Rhode Island",-3.37030316520658
"team_Rice",-1.98955504390478
"team_Richmond",-1.53505926143489
"team_Rider",-2.6888036223749
"team_Robert Morris",-1.45132553146638
"team_Rutgers",-1.63467619910387
"team_S. Carolina St.",-6.33164668748732
"team_S.C. Upstate",-2.13604950119892
"team_Sacramento St.",-4.4743843224988
"team_Sacred Heart",-3.34958778538906
"team_Saint Joseph's",-0.683118594561201
"team_Saint Louis",-0.207161400842417
"team_Sam Houston St.",-3.70974454470689
"team_Samford",-3.66324964856912
"team_San Diego",-3.03316178099036
"team_San Diego State",0.369580550410029
"team_San Fran. St.",-1.45668019536565
"team_San Francisco",-1.92263451171645
"team_San Jose State",-3.97325580593277
"team_Santa Clara",-4.17750776360578
"team_Savannah State",-2.45830573768033
"team_Seattle",-3.53351240936827
"team_Seton Hall",-0.662802981171437
"team_Siena",-2.76082685967708
"team_SIU-Edwardsville",-3.8551974523263
"team_SMU",-2.4879952434849
"team_South Alabama",-2.11900647951875
"team_South Carolina",-2.4199125951816
"team_South Dakota",-3.86892127631923
"team_South Dakota St.",-0.761079579046614
"team_South Florida",-0.39878112951205
"team_Southeast Mo. St.",-3.19059999473419
"team_Southeastern La.",-4.03354485361408
"team_Southern Ill.",-2.90938604170327
"team_Southern Miss",-0.121410565494532
"team_Southern U.",-4.48008612957867
"team_Southern Utah",-3.08587391379968
"team_St. Bonaventure",-0.829010588527799
"team_St. Francis (N.Y.)",-3.09314083725008
"team_St. Francis (Pa.)",-4.87981681460205
"team_St. John's",-1.67689867508956
"team_St. Mary's (Cal.)",0.0949890859762737
"team_St. Peter's",-4.90512245693225
"team_Stanford",-1.0899798161627
"team_Steph. F. Austin",-2.69817557776985
"team_Stetson",-4.12656899736839
"team_Stony Brook",-2.17926141091272
"team_Syracuse",2.2005503614944
"team_TCU",-1.21198494509557
"team_Temple",-0.0266242392944272
"team_Tenn.-Martin",-5.96779612516409
"team_Tennessee",-0.834534675001815
"team_Tennessee State",-1.44896816570631
"team_Tennessee Tech",-1.95221167880328
"team_Texas",0.0216478615592185
"team_Texas-Arlington",-1.58168678682357
"team_Texas A&M",-1.40738694948118
"team_Texas A&M-C.C.",-4.47406308968219
"team_Texas Southern",-4.29036646628167
"team_Texas State",-3.73012278991839
"team_Texas Tech",-2.61814360162384
"team_Toledo",-2.84743373858124
"team_Towson",-6.87505297886923
"team_Troy",-3.25970089642761
"team_Tulane",-2.77229907718039
"team_Tulsa",-1.36925550468226
"team_UAB",-1.36419822415428
"team_UALR",-2.50777310735123
"team_UC Davis",-4.95265781381286
"team_UC Irvine",-3.12270451979001
"team_UC Riverside",-3.04419708214559
"team_UC Santa Barb.",-1.53900100849449
"team_UCF",-0.750409020432063
"team_UCLA",-1.32100986118113
"team_UMBC",-6.32620747738523
"team_UMKC",-3.79314431718486
"team_UNC-Asheville",-1.91793366353525
"team_UNC-Greensboro",-3.31956104040567
"team_UNC-Wilmington",-2.99805927088821
"team_UNI",-0.750507806560526
"team_UNLV",0.31206042210823
"team_USC",-3.55615363306255
"team_Utah",-3.76671457300065
"team_Utah State",-2.47115522864382
"team_Utah Valley",-3.05249911914946
"team_UTEP",-1.97340709531713
"team_UTPA",-4.46213889280032
"team_UTSA",-2.58371925191433
"team_Valparaiso",-1.29880365340825
"team_Vanderbilt",0.382641417092063
"team_VCU",0.0848992845940347
"team_Vermont",-2.06351730938982
"team_Villanova",-1.23387920173832
"team_Virginia Tech",-1.39526513128682
"team_VMI",-3.87571942805808
"team_Wagner",-0.732065505677966
"team_Wake Forest",-1.98203421698664
"team_Washington",-0.701878980383026
"team_Washington St.",-2.17779188156661
"team_Weber State",-1.01368010567503
"team_West Virginia",-0.388848354646227
"team_Western Caro.",-2.83982915916639
"team_Western Illinois",-2.28572038686637
"team_Western Ky.",-2.51357830288383
"team_Western Mich.",-2.76023788806687
"team_Wichita State",1.06952901037897
"team_William & Mary",-4.25364935756851
"team_Winthrop",-4.09043074213434
"team_Wisconsin",0.958937350022999
"team_Wofford",-2.40930949715831
"team_Wright State",-2.51528327724352
"team_Wyoming",-0.941303206662764
"team_Xavier",-0.552773861207616
"team_Yale",-1.45706120187767
"team_Youngstown St.",-2.11297754408322
"at.home",0.642073601728072
